Mol_ID,Gene_symbol
MOL000433,ACVR2B
MOL000433,SEMA6D
MOL000433,NR5A2
MOL000433,SIRT2
MOL000433,INF2
MOL000433,LINC02112
MOL000433,FHIP2A
MOL000433,PCSK2
MOL000433,SP8
MOL000433,ZDHHC2
MOL000433,ERCC4
MOL000433,GIT2
MOL000433,TRIM8
MOL000433,MIRLET7G
MOL000433,TAF4
MOL000433,ATRX
MOL000433,MBP
MOL000433,CSF2
MOL000433,BCL10
MOL000433,CENPE
MOL000433,SNAI2
MOL000433,LRP10
MOL000433,MAP3K5
MOL000433,KCNQ1OT1
MOL000433,SLC68A1
MOL000433,PCDH9
MOL000433,CCL5
MOL000433,ZNF611
MOL000433,IGF2BP3
MOL000433,TCF3
MOL000433,CLN6
MOL000433,SDHC
MOL000433,NOPCHAP1
MOL000433,BCL11A
MOL000433,FSHB
MOL000433,PXN
MOL000433,VAPB
MOL000433,WDR72
MOL000433,GABRP
MOL000433,NNT
MOL000433,FAM217B
MOL000433,NME3
MOL000433,PRKCZ
MOL000433,ZNF596
MOL000433,MANEA
MOL000433,ZFAS1
MOL000433,ANP32A
MOL000433,LINC02114
MOL000433,PRSS3
MOL000433,MRPS34
MOL000433,CAMK2G1
MOL000433,BLNK
MOL000433,ZNF124
MOL000433,MINDY1
MOL000433,MUC19
MOL000433,IFT43
MOL000433,SMIM10L1
MOL000433,ARAP2
MOL000433,NSDHL
MOL000433,ADORA2A
MOL000433,ARL6IP6
MOL000433,CTSV
MOL000433,ZNF654
MOL000433,ZNF451
MOL000433,SLC16A1
MOL000433,CPED1
MOL000433,ROBO4
MOL000433,PARPBP
MOL000433,MCTP1
MOL000433,ZXDC
MOL000433,ARHGAP26
MOL000433,HGSNAT
MOL000433,DIAPH3
MOL000433,SETD2
MOL000433,MSL-1
MOL000433,OGA
MOL000433,SPTSSA
MOL000433,USPL1
MOL000433,HNRNPA3
MOL000433,MLLT10
MOL000433,SLCO4A1
MOL000433,RAB39B
MOL000433,SYNRG
MOL000433,CLEC7A
MOL000433,HJURP
MOL000433,HNRNPA2B1
MOL000433,ASPM
MOL000433,FABP9
MOL000433,LRP6
MOL000433,PUS7L
MOL000433,GK5
MOL000433,IER5L
MOL000433,ATP6V0D1
MOL000433,NPAS3
MOL000433,ZBTB34
MOL000433,PRKX
MOL000433,MIR224
MOL000433,MIRLET7C
MOL000433,ILDR1
MOL000433,NCAPH
MOL000433,TDG
MOL000433,EBPL
MOL000433,CHDH
MOL000433,STARD13
MOL000433,MTHL2
MOL000433,TUBD1
MOL000433,SEH1L
MOL000433,RAD9B
MOL000433,MIDEAS
MOL000433,LSAMP
MOL000433,OBI1
MOL000433,BPNT2
MOL000433,ATP8A1
MOL000433,RBM43
MOL000433,DCAF8
MOL000433,SCAPER
MOL000433,CXCR3
MOL000433,PNMT
MOL000433,MEI1
MOL000433,POU2F2
MOL000433,SREK1
MOL000433,FILIP1
MOL000433,GZMK
MOL000433,RAPGEF6
MOL000433,RIOK3
MOL000433,VANGL1
MOL000433,DCXR
MOL000433,PLK2
MOL000433,IMMP2L
MOL000433,ANKRD37
MOL000433,SLC52A1
MOL000433,GPATCH2L
MOL000433,PTGER1
MOL000433,NFATC1
MOL000433,MIRLET7I
MOL000433,LIN37
MOL000433,HPDL
MOL000433,KLK2
MOL000433,FNTB
MOL000433,SLC4A7
MOL000433,LTO1
MOL000433,TRA2B
MOL000433,SEC22A
MOL000433,ITGB2
MOL000433,CALM1
MOL000433,ZNF286A
MOL000433,TCERG1L
MOL000433,KIN
MOL000433,DRAM1
MOL000433,DDIT4
MOL000433,MAPK3
MOL000433,ABCA8
MOL000433,SH2D2A
MOL000433,PYHIN1
MOL000433,RABL3
MOL000433,ADRB1
MOL000433,SERPINB10
MOL000433,NECAP2
MOL000433,GNG7
MOL000433,ATP8B1
MOL000433,C12ORF57
MOL000433,FAM13C
MOL000433,SPATA7
MOL000433,DZANK1
MOL000433,ELAVL1
MOL000433,ZNF420
MOL000433,CD34
MOL000433,COX11
MOL000433,HBEGF
MOL000433,SLC60A1
MOL000433,JMJD6
MOL000433,TRIM22
MOL000433,DLC1
MOL000433,KANK1
MOL000433,NSMCE4A
MOL000433,BABAM2
MOL000433,CDH2
MOL000433,CCDC85A
MOL000433,SH3GL3
MOL000433,NUFIP2
MOL000433,ABCF2
MOL000433,PIF1
MOL000433,RSG7
MOL000433,MVD
MOL000433,ARID4A
MOL000433,HS3ST1
MOL000433,ZEB2
MOL000433,BORCS7
MOL000433,ARID1B
MOL000433,PPP4R3A
MOL000433,PGAM5
MOL000433,N4BP1
MOL000433,RESF1
MOL000433,ATP6V1H
MOL000433,FAM111A
MOL000433,MGME1
MOL000433,GPR180
MOL000433,SNAI1
MOL000433,TIFA
MOL000433,MIR532
MOL000433,POMZP3
MOL000433,LINC02683
MOL000433,FAM117B
MOL000433,ETV4
MOL000433,FETUB
MOL000433,GALNT2
MOL000433,SEC62
MOL000433,EPHB1
MOL000433,SLC22A4
MOL000433,PTPN11
MOL000433,HIC1
MOL000433,VPS33B
MOL000433,TRIM14
MOL000433,MTFR1
MOL000433,HVCN1
MOL000433,GATA6
MOL000433,DNAJB9
MOL000433,GAS2
MOL000433,SLC22A23
MOL000433,SS18
MOL000433,HNRNPD
MOL000433,TAF1A
MOL000433,RNASE7
MOL000433,PDXP
MOL000433,EDRF1
MOL000433,WTAP
MOL000433,NFKBIZ
MOL000433,RPL13
MOL000433,FCHSD2
MOL000433,SLC25A25
MOL000433,PTPRN2
MOL000433,FKTN
MOL000433,CTNNB1
MOL000433,MAPT
MOL000433,CISD1
MOL000433,UBE2D3
MOL000433,NAZO
MOL000433,CERT1
MOL000433,MAP3K9
MOL000433,TMPO
MOL000433,PFAS
MOL000433,TPT1P8
MOL000433,SYNCRIP
MOL000433,H2BC7
MOL000433,SELENOI
MOL000433,RAB3GAP2
MOL000433,EXOC4
MOL000433,BAGE
MOL000433,KAT14
MOL000433,HPGDS
MOL000433,DDAH1
MOL000433,KCTD21
MOL000433,GLCCI1
MOL000433,HOOK1
MOL000433,NAA25
MOL000433,GPNMB
MOL000433,KICS2
MOL000433,RGS2
MOL000433,ENTPD7
MOL000433,TBC1D22A
MOL000433,DIO3OS
MOL000433,DUOX1
MOL000433,SNHG4
MOL000433,DHODH
MOL000433,BNIP3
MOL000433,SULF2
MOL000433,CAMK2D
MOL000433,CLEC4C
MOL000433,RSAD2
MOL000433,HINT3
MOL000433,MIR29B
MOL000433,LONRF1
MOL000433,ST6GALNAC4
MOL000433,CHST9
MOL000433,TARS3
MOL000433,RTL10
MOL000433,ARL4D
MOL000433,EIF4EBP1
MOL000433,LSP1ALPHA
MOL000433,GBP3
MOL000433,MARCKSL1
MOL000433,DYM
MOL000433,MIR122
MOL000433,GADD45B
MOL000433,ZNF84
MOL000433,HOXD10
MOL000433,DMD
MOL000433,IPO11
MOL000433,MIR15B
MOL000433,ARL14
MOL000433,GBA1A
MOL000433,SCMH1
MOL000433,MIR27B
MOL000433,KAT6B
MOL000433,CYB5B
MOL000433,FCF1
MOL000433,TIRAP
MOL000433,IL4R
MOL000433,ZNF37A
MOL000433,CASP1
MOL000433,KCTD3
MOL000433,KDELR2
MOL000433,KLHL29
MOL000433,RBAK
MOL000433,NAT10
MOL000433,DIDO1
MOL000433,EGR3
MOL000433,SF3B6
MOL000433,TTC7B
MOL000433,GFM2
MOL000433,ZNF212
MOL000433,KRTAP2-3
MOL000433,ZNF469
MOL000433,ZNF101
MOL000433,GATM
MOL000433,CERS5
MOL000433,RHOBTB1
MOL000433,CD109
MOL000433,IL13
MOL000433,UPP1
MOL000433,SNTB2
MOL000433,CASP8
MOL000433,EEF1E1
MOL000433,NUMA1
MOL000433,CCNA2
MOL000433,MIR582
MOL000433,ITFG1
MOL000433,XDH
MOL000433,MIR18A
MOL000433,RBBP6
MOL000433,RNF157
MOL000433,SYNE2
MOL000433,EPS8
MOL000433,FEM1B
MOL000433,PHACTR4
MOL000433,NOTCH1
MOL000433,LRRC59
MOL000433,AKAP8L
MOL000433,H1-10
MOL000433,INO80D
MOL000433,B3GLCT
MOL000433,ZNF268
MOL000433,PIGK
MOL000433,UBE3D
MOL000433,CAMTA1
MOL000433,FPGT
MOL000433,CTC1
MOL000433,S100A4
MOL000433,WWTR1
MOL000433,GNE
MOL000433,RBM26
MOL000433,NCOA4
MOL000433,MIR107
MOL000433,INSRR
MOL000433,P53
MOL000433,DDR1
MOL000433,H19
MOL000433,SNRPA1
MOL000433,ECI2
MOL000433,CEP128
MOL000433,HBBE3
MOL000433,RAD51C
MOL000433,MIGA1
MOL000433,ATP5MC1
MOL000433,CDA
MOL000433,LINC01004
MOL000433,CEP350
MOL000433,SLC16A7
MOL000433,MIF
MOL000433,SNORA28
MOL000433,ZNF266
MOL000433,IVD
MOL000433,THY1
MOL000433,USP25
MOL000433,THNSL1
MOL000433,KCND2
MOL000433,ZNF283
MOL000433,IL18
MOL000433,CD160
MOL000433,DKK1
MOL000433,GCSAM
MOL000433,WDR77
MOL000433,LAMC2
MOL000433,ECE2
MOL000433,TRPS1
MOL000433,SH3RF1
MOL000433,MIR10A
MOL000433,CLN8
MOL000433,AMZ2P1
MOL000433,IL1B
MOL000433,RUNDC1
MOL000433,TRIM68
MOL000433,ACAN
MOL000433,RYBP
MOL000433,SSBP2
MOL000433,MAGI2-AS3
MOL000433,AOC3
MOL000433,MRPL30
MOL000433,ITPRIPL1
MOL000433,TXNIP
MOL000433,CDC20
MOL000433,MUSTN1
MOL000433,INTS13
MOL000433,ACAT2
MOL000433,DTX4
MOL000433,NTRK1
MOL000433,ITSN1
MOL000433,PPM1G
MOL000433,ZNF230
MOL000433,C15ORF39
MOL000433,RBM48
MOL000433,YME1L1
MOL000433,CNTFR
MOL000433,C8ORF82
MOL000433,RWDD1
MOL000433,HEMK2
MOL000433,ZFAND2A
MOL000433,CD69
MOL000433,NAP1L5
MOL000433,AUH
MOL000433,PLSCR3
MOL000433,ZC3H13
MOL000433,MB
MOL000433,VPS11
MOL000433,STON2
MOL000433,ROR1
MOL000433,NUCKS1
MOL000433,TLK1
MOL000433,PGRP-SC1A
MOL000433,KCNJ18
MOL000433,RNF38
MOL000433,SOCS3
