Mol_ID,Gene_symbol,Description
MOL000098,EPHX2,epoxide hydrolase 2
MOL000098,MAPK8,mitogen-activated protein kinase 8
MOL000098,SLPI,secretory leukocyte peptidase inhibitor
MOL000098,MARVELD1,MARVEL domain containing 1
MOL000098,MMP2,matrix metallopeptidase 2
MOL000098,GPRC6A,G protein-coupled receptor class C group 6 member A
MOL000098,AFP,alpha fetoprotein
MOL000098,MIR135B,microRNA 135b
MOL000098,TGFB1,transforming growth factor beta 1
MOL000098,TLR2,toll like receptor 2
MOL000098,VIM,vimentin
MOL000098,JAK2,Janus kinase 2
MOL000098,CDK2,cyclin dependent kinase 2
MOL000098,PPARGC1A,PPARG coactivator 1 alpha
MOL000098,IL1B,interleukin 1 beta
MOL000098,ABCC3,ATP binding cassette subfamily C member 3
MOL000098,GATA4,GATA binding protein 4
MOL000098,CASP1,caspase 1
MOL000098,BCL2,BCL2 apoptosis regulator
MOL000098,IL4,interleukin 4
MOL000098,IGF1,insulin like growth factor 1
MOL000098,NOS3,nitric oxide synthase 3
MOL000098,DAPK1,death associated protein kinase 1
MOL000098,LHCGR,luteinizing hormone/choriogonadotropin receptor
MOL000098,LDHA,lactate dehydrogenase A
MOL000098,LEP,leptin
MOL000098,TP53,tumor protein p53
MOL000098,TMBIM6,transmembrane BAX inhibitor motif containing 6
MOL000098,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
MOL000098,DNMT1,DNA methyltransferase 1
MOL000098,HGF,hepatocyte growth factor
MOL000098,TJP1,tight junction protein 1
MOL000098,FASN,fatty acid synthase
MOL000098,BCAM,basal cell adhesion molecule (Lutheran blood group)
MOL000098,ICAM1,intercellular adhesion molecule 1
MOL000098,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
MOL000098,SCD,stearoyl-CoA desaturase
MOL000098,SOD1,superoxide dismutase 1
MOL000098,TMPRSS11D,transmembrane serine protease 11D
MOL000098,ETV4,ETS variant transcription factor 4
MOL000098,CYCS,"cytochrome c, somatic"
MOL000098,SCTR,secretin receptor
