	logFC	AveExpr	t	P.Value	adj.P.Val	B
FAM102A	-1.89102324586629	4.21427748437347	-22.5121503380592	1.37778003876815e-60	4.97233564517538e-58	127.42521037279
IARS	-1.88055766032711	5.74940761247523	-14.7905717858486	1.97454931884607e-35	3.99394828298746e-34	69.7567729232246
CDKN1C	-1.87033534809417	3.71685738738765	-12.4676502506371	1.01298554967727e-27	1.08193799285624e-26	52.0949698021658
IMP3	-1.8667324145572	5.51306227580366	-20.1048661882617	5.64431121868795e-53	7.74060840530865e-51	109.978135687508
CCL4 /// CCL4L1 /// CCL4L2	-1.86156512613443	5.51962102067146	-8.6022441121512	1.12514512448311e-15	5.13314711815081e-15	24.5829550212335
RPL22	-1.85520180149409	8.42004201419602	-16.4540906859319	5.48342695661065e-41	1.85220978529454e-39	82.4939855665807
PTGDS	-1.84882728890296	3.39864443363172	-12.1386268741	1.20721263881186e-26	1.18424278459699e-25	49.6317197212385
FYN	-1.83941880518869	6.19094713095306	-14.8027803959066	1.79750665271865e-35	3.64659855553011e-34	69.8502761604821
PTPRCAP	-1.83476208682139	5.43811407443109	-12.6467941114931	2.61401783319278e-28	2.89101940035531e-27	53.4417678129715
ZFP36L2	-1.83362183378751	6.51873795223484	-16.3524012588374	1.19680188763027e-40	3.87097667145318e-39	81.7168399823339
PTPN4	-1.83270211407343	6.21749457976236	-13.0813001309553	9.64941819665225e-30	1.20301928317172e-28	56.7226208842245
PLEKHA1	-1.8290266930341	3.28157556175674	-23.1925225913056	1.09555326999928e-62	5.64019918275941e-60	132.235422478086
NUP93	-1.82688428999513	3.81173603624779	-19.7858670528421	6.029802380494e-52	7.42444420745143e-50	107.619866660553
NCL	-1.82616190444776	7.30888739404887	-18.1800509731274	1.04529073557267e-46	6.89188324405944e-45	95.608431483469
HNRNPA1 /// HNRPA1L-2	-1.82168909078634	8.57209684424023	-16.9082258333533	1.68808162980486e-42	6.72975333463482e-41	85.9598167297139
KIAA0748	-1.79422440000841	3.82313567162818	-21.6818463163006	5.41149818925544e-58	1.48426572334898e-55	121.480677035787
CD81	-1.78887558150203	5.68969825923947	-14.1005415905511	3.97187306893403e-33	6.56268280329654e-32	64.4779857729646
IMPDH2	-1.7851855978198	5.51924571295029	-15.3649110637453	2.37514696755882e-37	5.59669510534393e-36	74.1570404140765
TGFBI	-1.77757634919803	4.7629643156775	-9.48951259212522	2.72990903240677e-18	1.4891794936526e-17	30.5406469801835
SBK1	-1.77250866333683	4.17017463065152	-18.8270872480799	7.8869449589428e-49	6.43818828374652e-47	100.474529509437
IL32 /// LOC100291980	-1.76775575155212	5.02022388344094	-15.0433756064071	2.82182415226871e-36	6.06559505081711e-35	71.693345801246
CXXC5	-1.76028311163148	5.10415793653208	-15.5870371313202	4.29803005713478e-38	1.09968627245422e-36	75.8588932969973
GIMAP4	-1.75790144114269	7.76696891852774	-11.8471372419967	1.07143972347569e-25	9.76976354238408e-25	47.4620004608573
CD8A	-1.75765193749312	4.53093937490246	-10.5882574213277	1.12956903783753e-21	7.77810511594617e-21	38.2636648996374
IGHM	-1.75646686909467	6.310363479555	-6.93034677596615	4.00632135612606e-11	1.29888158576626e-10	14.2541248080018
MAL	-1.7532665697217	5.76767284395713	-9.820243142942	2.70971483013025e-19	1.57062676164016e-18	32.8292115405568
USP11	-1.73776846210445	4.55879500950945	-16.2559291380333	2.51039000747462e-40	7.78902456165315e-39	80.9792551177792
GIMAP7	-1.73074097909174	7.30969137507615	-12.3287672573766	2.88787975409074e-27	2.96439992122757e-26	51.0535056668338
SPON2	-1.72904888010583	4.48219858695615	-11.0769655037558	3.21257024067347e-23	2.46404856155458e-22	41.7970969656932
BTN3A3	-1.72886204676965	3.96222864207714	-13.5610693949749	2.47968405859502e-31	3.5590829451938e-30	60.3646613531934
DNMT1	-1.72735016992733	5.8049506258881	-17.6302049292604	6.81157925881375e-45	3.51180443441247e-43	91.4491730543488
RASGRP1	-1.72024260844485	4.06322180206302	-20.9192827181597	1.3981737494858e-55	3.09267012910455e-53	115.95195142461
LGALS2	-1.71883167724249	3.12961923951185	-7.60490152639055	6.81291017294779e-13	2.54583787770589e-12	18.2614640574467
NFATC3	-1.71123304863134	5.55370924231162	-17.8419878237443	1.3598775130153e-45	7.7705667556216e-44	93.0535934258623
SAMD3	-1.70802615090012	3.384428678106	-16.8166908260446	3.40229394379236e-42	1.34077756164277e-40	85.2619464515027
HNRNPA1	-1.70615426766206	7.92583715801241	-18.2610754914896	5.65854475189803e-47	3.84164765977869e-45	96.2195476071302
FGL2	-1.70399540235445	8.34412854057196	-10.2251118239031	1.5362739747936e-20	9.78108695000899e-20	35.6745093976884
RUNX3	-1.69804548567415	4.78570228833126	-15.3752674855711	2.1931691565322e-37	5.18571065735908e-36	74.2363942174541
ATIC	-1.69355742556905	3.69752145235839	-16.369620765628	1.04860523767376e-40	3.40771853778624e-39	81.8484618282485
EIF3L	-1.69163847664299	7.62543327397043	-17.2954503326789	8.74505199483095e-44	4.05167713030783e-42	88.9075223440121
FCGR3A	-1.68549992984545	8.75493045740787	-11.7204339621734	2.75693062355002e-25	2.44557222324482e-24	46.5229316123969
CCL5	-1.6842825889988	8.8835531221084	-9.6182439948154	1.11518523778848e-18	6.20683861648993e-18	31.4274113400195
BLNK	-1.67900137982085	3.66213843472831	-11.8930640989362	7.60195149441534e-26	6.98747739908928e-25	47.803015906927
FBL	-1.67776684349183	6.64855028681459	-13.9170339595925	1.6234223576026e-32	2.55903611634047e-31	63.0770509312663
NPM1	-1.6765510467796	7.94411023472371	-14.9038699830886	8.25711869223221e-36	1.71572917795867e-34	70.6245854363601
EIF3L /// LOC340947	-1.67621115730611	7.8462877953696	-16.1200829188602	7.12816098926077e-40	2.088794867665e-38	79.9401653477249
ZNF266	-1.67224873656475	5.56195689500603	-14.692537617909	4.19791101319844e-35	8.13137734957676e-34	69.0060432774988
LBH	-1.66552157152545	4.10423613761284	-15.3250870837139	3.22709723355535e-37	7.42557239278156e-36	73.851894826437
CD96	-1.66216283850572	3.19607249241952	-23.1974214529917	1.05828678310215e-62	5.64019918275941e-60	132.26985423687
APOL3	-1.66210525462226	4.44474027641888	-15.4917045842358	8.95117274327898e-38	2.19993517923527e-36	75.1285316632454
HNRNPA0	-1.65874492279441	5.43233987907158	-22.5278197001461	1.23185015139633e-60	4.69266471562479e-58	127.536617020072
LTB	-1.65517774333179	8.47968062682996	-14.5589112950029	1.17328410637256e-34	2.22243345784437e-33	67.9830701207036
DPEP2	-1.65493939183495	7.30738855048327	-8.50810966562621	2.09615318051175e-15	9.35154349952444e-15	23.968111215264
GBP5	-1.65413468252729	6.12678141297756	-5.86807042374029	1.49009227552722e-08	3.93588703131361e-08	8.46088755202488
RPL10A	-1.64790135159646	9.21675306700345	-14.7431187670975	2.84467555178261e-35	5.58909462996371e-34	69.3933637265682
NOP56	-1.6430217290064	6.66676906118262	-16.1213021986928	7.06168724177311e-40	2.08715471624303e-38	79.9494938944805
LOC100131541	-1.63241800891603	3.84949962548796	-9.65970432143074	8.34953458002305e-19	4.69669881995226e-18	31.7141163595982
LYSMD2	-1.62605045634663	6.43786514674656	-9.36551734360411	6.43475783026691e-18	3.45792589671945e-17	29.691542791128
PDCD4	-1.62304959953904	5.47483708592832	-17.6649657184862	5.22768486727316e-45	2.736353827091e-43	91.7127099403536
XCL1 /// XCL2	-1.61808951981167	3.26958749205128	-14.2212659108373	1.57189192380808e-33	2.71497806588212e-32	65.4004272919235
CFD	-1.61367484015023	7.1661758584722	-6.28606455713802	1.56881809612069e-09	4.47865933785916e-09	10.6593054759889
ARHGEF18	-1.60838852150144	7.59101852904537	-20.3560042972566	8.80712582107212e-54	1.43786813702599e-51	111.827587408296
RPS23	-1.60640356286052	8.75699392091422	-15.0616966446493	2.45068545236719e-36	5.33471433234344e-35	71.8337169849649
DUSP6	-1.59805944535105	7.81389830653746	-12.5247411177567	6.58097702797438e-28	7.0841066688886e-27	52.523770808993
APEX1	-1.59713152595809	6.50263710090183	-13.4379983639445	6.35298825411167e-31	8.78275009242818e-30	59.4287375484716
ITM2A	-1.58710084119863	5.55720731881521	-10.3566706959479	5.98994874306097e-21	3.91172176487325e-20	36.6086488249395
HLA-DRB4	-1.58665679369452	4.61598374441309	-3.87916354579911	0.000136132473458728	0.000238736667648721	-0.328126313276076
FAM43A	-1.58362071506497	3.51480080068087	-21.2545751919056	1.20642189127199e-56	3.06386478090815e-54	118.39082987357
