Mol_ID,Gene_symbol,Description
MOL002776,MKI67,marker of proliferation Ki-67
MOL002776,JAK2,Janus kinase 2
MOL002776,MIR145,microRNA 145
MOL001659,AR,androgen receptor
MOL001659,ESR1,estrogen receptor 1
MOL001659,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL001659,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL001659,PGR,progesterone receptor
MOL001659,NR1H2,nuclear receptor subfamily 1 group H member 2
MOL007093,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007093,ADRA1B,adrenoceptor alpha 1B
MOL007093,ADRB2,adrenoceptor beta 2
MOL007093,AR,androgen receptor
MOL007093,CA2,carbonic anhydrase 2
MOL007093,CALM3,calmodulin 3
MOL007093,CCNA2,cyclin A2
MOL007093,CDK2,cyclin dependent kinase 2
MOL007093,CHEK1,checkpoint kinase 1
MOL007093,CHRM1,cholinergic receptor muscarinic 1
MOL007093,DPP4,dipeptidyl peptidase 4
MOL007093,ESR1,estrogen receptor 1
MOL007093,ESR2,estrogen receptor 2
MOL007093,GSK3B,glycogen synthase kinase 3 beta
MOL007093,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007093,KCNH2,potassium voltage-gated channel subfamily H member 2
MOL007093,NOS2,nitric oxide synthase 2
MOL007093,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007093,PPARG,peroxisome proliferator activated receptor gamma
MOL007093,PRSS1,serine protease 1
MOL007093,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007093,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007093,RXRA,retinoid X receptor alpha
MOL007093,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007093,NCOA1,nuclear receptor coactivator 1
MOL007093,NCOA2,nuclear receptor coactivator 2
MOL007094,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007094,ADRA1D,adrenoceptor alpha 1D
MOL007094,ADRA1B,adrenoceptor alpha 1B
MOL007094,ADRB2,adrenoceptor beta 2
MOL007094,AR,androgen receptor
MOL007094,CA2,carbonic anhydrase 2
MOL007094,CCNA2,cyclin A2
MOL007094,CDK2,cyclin dependent kinase 2
MOL007094,CHRM1,cholinergic receptor muscarinic 1
MOL007094,CHRM2,cholinergic receptor muscarinic 2
MOL007094,CHRM3,cholinergic receptor muscarinic 3
MOL007094,CHRM4,cholinergic receptor muscarinic 4
MOL007094,CHRM5,cholinergic receptor muscarinic 5
MOL007094,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit
MOL007094,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007094,MAPK14,mitogen-activated protein kinase 14
MOL007094,DPP4,dipeptidyl peptidase 4
MOL007094,DRD1,dopamine receptor D1
MOL007094,ESR1,estrogen receptor 1
MOL007094,ESR2,estrogen receptor 2
MOL007094,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007094,GSK3B,glycogen synthase kinase 3 beta
MOL007094,NOS2,nitric oxide synthase 2
MOL007094,OPRM1,opioid receptor mu 1
MOL007094,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007094,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007094,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007094,RXRA,retinoid X receptor alpha
MOL007094,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007094,SLC6A4,solute carrier family 6 member 4
MOL007108,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007108,ADRA1D,adrenoceptor alpha 1D
MOL007108,ADRA1B,adrenoceptor alpha 1B
MOL007108,ADRA1A,adrenoceptor alpha 1A
MOL007108,ADRB2,adrenoceptor beta 2
MOL007108,AR,androgen receptor
