Mol_ID,Gene_symbol
MOL000098,KIF23
MOL000098,KIF4A
MOL000098,KITLG
MOL000098,KLF4
MOL000098,KMT2A
MOL000098,KNG1
MOL000098,KRAS
MOL000098,KRT19
MOL000098,LDHA
MOL000098,LEF1
MOL000098,LEP
MOL000098,LGALS3
MOL000098,LMNA
MOL000098,LMNB1
MOL000098,LOX
MOL000098,LYN
MOL000098,MAD2L1
MOL000098,MAP1LC3B
MOL000098,MAP2K1
MOL000098,MAP3K5
MOL000098,MAP3K7
MOL000098,MAPK1
MOL000098,MAPK11
MOL000098,MAPK14
MOL000098,MAPK3
MOL000098,MAPK8
MOL000098,MAPK9
MOL000098,MAPT
MOL000098,MCL1
MOL000098,MCM10
MOL000098,MCM2
MOL000098,MCM3
MOL000098,MCM4
MOL000098,MCM6
MOL000098,MCM7
MOL000098,MDC1
MOL000098,MDM2
MOL000098,MED1
MOL000098,MEN1
MOL000098,MET
MOL000098,MKI67
MOL000098,MLH1
MOL000098,MMP1
MOL000098,MMP2
MOL000098,MMP3
MOL000098,MMP9
MOL000098,MPO
MOL000098,MSH2
MOL000098,MSH6
MOL000098,MTOR
MOL000098,MUC1
MOL000098,MYBL2
MOL000098,MYC
MOL000098,MYD88
MOL000098,MYOD1
MOL000098,NANOG
MOL000098,NCAPG
MOL000098,NCOA1
MOL000098,NCOA2
MOL000098,NCOR1
MOL000098,NDC80
MOL000098,NEDD8
MOL000098,NEK2
MOL000098,NES
MOL000098,NF1
MOL000098,NFE2L2
MOL000098,NFKB1
MOL000098,NFKB2
MOL000098,NFKBIA
MOL000098,NGF
MOL000098,NLRP3
MOL000098,NOS2
MOL000098,NOS3
MOL000098,NOTCH1
MOL000098,NPM1
MOL000098,NQO1
MOL000098,NR1H4
MOL000098,NR3C1
MOL000098,NRAS
MOL000098,NT5E
MOL000098,NTRK1
MOL000098,NUF2
MOL000098,OCLN
MOL000098,ORC1
MOL000098,PARK7
MOL000098,PARP1
MOL000098,PBK
MOL000098,PCK1
MOL000098,PCNA
MOL000098,PDGFB
